runtag	neg_sample	neg_samp_strategy	add_randomness	positem	negitem	tau	commute_matrix_path	seed	epochs	dataset	recdim	layer	lr	decay	topks	multicore
uniform-na-ar0-pi10-ni1-tauna-s2020	uniform	na	0	10	1	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2020	alpha75	na	0	10	1	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2021	uniform	na	0	10	1	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2021	alpha75	na	0	10	1	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2022	uniform	na	0	10	1	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2022	alpha75	na	0	10	1	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2023	uniform	na	0	10	1	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2023	alpha75	na	0	10	1	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2024	uniform	na	0	10	1	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2024	alpha75	na	0	10	1	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2025	uniform	na	0	10	1	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2025	alpha75	na	0	10	1	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2026	uniform	na	0	10	1	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2026	alpha75	na	0	10	1	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2027	uniform	na	0	10	1	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2027	alpha75	na	0	10	1	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2028	uniform	na	0	10	1	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2028	alpha75	na	0	10	1	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
uniform-na-ar0-pi10-ni1-tauna-s2029	uniform	na	0	10	1	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
alpha75-na-ar0-pi10-ni1-tauna-s2029	alpha75	na	0	10	1	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2020	naive_random_walk	normal	0	10	1	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2021	naive_random_walk	normal	0	10	1	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2022	naive_random_walk	normal	0	10	1	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2023	naive_random_walk	normal	0	10	1	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2024	naive_random_walk	normal	0	10	1	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2025	naive_random_walk	normal	0	10	1	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2026	naive_random_walk	normal	0	10	1	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2027	naive_random_walk	normal	0	10	1	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2028	naive_random_walk	normal	0	10	1	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni1-tauna-s2029	naive_random_walk	normal	0	10	1	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2020	naive_random_walk	normal	0	10	2	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2021	naive_random_walk	normal	0	10	2	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2022	naive_random_walk	normal	0	10	2	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2023	naive_random_walk	normal	0	10	2	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2024	naive_random_walk	normal	0	10	2	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2025	naive_random_walk	normal	0	10	2	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2026	naive_random_walk	normal	0	10	2	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2027	naive_random_walk	normal	0	10	2	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2028	naive_random_walk	normal	0	10	2	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni2-tauna-s2029	naive_random_walk	normal	0	10	2	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2020	naive_random_walk	normal	0	10	3	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2021	naive_random_walk	normal	0	10	3	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2022	naive_random_walk	normal	0	10	3	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2023	naive_random_walk	normal	0	10	3	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2024	naive_random_walk	normal	0	10	3	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2025	naive_random_walk	normal	0	10	3	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2026	naive_random_walk	normal	0	10	3	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2027	naive_random_walk	normal	0	10	3	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2028	naive_random_walk	normal	0	10	3	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni3-tauna-s2029	naive_random_walk	normal	0	10	3	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2020	naive_random_walk	normal	0	10	4	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2021	naive_random_walk	normal	0	10	4	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2022	naive_random_walk	normal	0	10	4	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2023	naive_random_walk	normal	0	10	4	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2024	naive_random_walk	normal	0	10	4	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2025	naive_random_walk	normal	0	10	4	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2026	naive_random_walk	normal	0	10	4	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2027	naive_random_walk	normal	0	10	4	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2028	naive_random_walk	normal	0	10	4	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni4-tauna-s2029	naive_random_walk	normal	0	10	4	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2020	naive_random_walk	normal	0	10	5	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2021	naive_random_walk	normal	0	10	5	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2022	naive_random_walk	normal	0	10	5	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2023	naive_random_walk	normal	0	10	5	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2024	naive_random_walk	normal	0	10	5	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2025	naive_random_walk	normal	0	10	5	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2026	naive_random_walk	normal	0	10	5	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2027	naive_random_walk	normal	0	10	5	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2028	naive_random_walk	normal	0	10	5	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar0-pi10-ni5-tauna-s2029	naive_random_walk	normal	0	10	5	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2020	naive_random_walk	normal	1	10	1	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2021	naive_random_walk	normal	1	10	1	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2022	naive_random_walk	normal	1	10	1	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2023	naive_random_walk	normal	1	10	1	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2024	naive_random_walk	normal	1	10	1	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2025	naive_random_walk	normal	1	10	1	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2026	naive_random_walk	normal	1	10	1	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2027	naive_random_walk	normal	1	10	1	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2028	naive_random_walk	normal	1	10	1	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni1-tauna-s2029	naive_random_walk	normal	1	10	1	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2020	naive_random_walk	normal	1	10	2	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2021	naive_random_walk	normal	1	10	2	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2022	naive_random_walk	normal	1	10	2	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2023	naive_random_walk	normal	1	10	2	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2024	naive_random_walk	normal	1	10	2	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2025	naive_random_walk	normal	1	10	2	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2026	naive_random_walk	normal	1	10	2	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2027	naive_random_walk	normal	1	10	2	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2028	naive_random_walk	normal	1	10	2	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni2-tauna-s2029	naive_random_walk	normal	1	10	2	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2020	naive_random_walk	normal	1	10	3	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2021	naive_random_walk	normal	1	10	3	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2022	naive_random_walk	normal	1	10	3	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2023	naive_random_walk	normal	1	10	3	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2024	naive_random_walk	normal	1	10	3	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2025	naive_random_walk	normal	1	10	3	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2026	naive_random_walk	normal	1	10	3	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2027	naive_random_walk	normal	1	10	3	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2028	naive_random_walk	normal	1	10	3	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni3-tauna-s2029	naive_random_walk	normal	1	10	3	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2020	naive_random_walk	normal	1	10	4	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2021	naive_random_walk	normal	1	10	4	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2022	naive_random_walk	normal	1	10	4	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2023	naive_random_walk	normal	1	10	4	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2024	naive_random_walk	normal	1	10	4	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2025	naive_random_walk	normal	1	10	4	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2026	naive_random_walk	normal	1	10	4	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2027	naive_random_walk	normal	1	10	4	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2028	naive_random_walk	normal	1	10	4	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni4-tauna-s2029	naive_random_walk	normal	1	10	4	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2020	naive_random_walk	normal	1	10	5	na	na	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2021	naive_random_walk	normal	1	10	5	na	na	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2022	naive_random_walk	normal	1	10	5	na	na	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2023	naive_random_walk	normal	1	10	5	na	na	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2024	naive_random_walk	normal	1	10	5	na	na	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2025	naive_random_walk	normal	1	10	5	na	na	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2026	naive_random_walk	normal	1	10	5	na	na	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2027	naive_random_walk	normal	1	10	5	na	na	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2028	naive_random_walk	normal	1	10	5	na	na	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
naive_random_walk-normal-ar1-pi10-ni5-tauna-s2029	naive_random_walk	normal	1	10	5	na	na	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2020	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2021	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2022	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2023	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2024	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2025	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2026	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2027	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2027	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2028	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2028	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau0.5-s2029	commute_distance	scaled	0	10	1	0.5	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau0.5.csv	2029	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2020	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2020	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2021	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2021	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2022	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2022	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2023	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2023	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2024	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2024	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2025	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2025	400	lastfm	64	3	0.001	0.0001	[10]	1
commute_distance-scaled-ar0-pi10-ni1-tau1-s2026	commute_distance	scaled	0	10	1	1	/var/scratch/eerdem/network_oriented_NS/LightGCN-PyTorch/data/lastfm/distance_tau1.csv	2026	400	lastfm	64	3	0.001	0.0001	[10]	1
